object_img,feature_img,context_img,trl_no_ret,block_no,pleasant_scr,pleasant_inital_rt,pleasant_final_rt,feat_mem,feat_inital_rt,feat_final_rt,feat_key,scene_mem,scene_inital_rt,scene_final_rt,scene_key,con_score,con_inital_rt,con_final_rt
animate_12.jpg,chequered_45.jpg,outdoor_48.jpg,36,1,difficult,47.0760741301347,47.7093077299651,target,4.7119762301445,5.27755803009495,centre,lure,5.78795674489811,13.7836899450049,centre,guess,0.607771119102836,0.607771119102836
inanimate_18.jpg,chequered_51.jpg,outdoor_12.jpg,31,1,easy,1.33263362990692,1.33263362990692,lure,3.31412871507928,5.54510091501288,centre,target,10.0166725302115,14.2281837300397,right,unsure,2.46774563007057,3.01838723011315
inanimate_41.jpg,chequered_31.jpg,outdoor_34.jpg,30,1,easy,1.28546022996306,1.28546022996306,lure,0.779522970551625,1.83548667049035,right,target,1.72811293229461,2.72525553242303,centre,certain,0.293970929924399,1.3329962301068
animate_53.jpg,polkadot_34.jpg,indoor_64.jpg,17,1,difficult,1.23444968089461,2.56616458110511,lure,1.13786858110689,7.77318878099322,left,target,1.19276733230799,2.86899013211951,right,unsure,0.44507218291983,1.01370998308994
animate_34.jpg,polkadot_31.jpg,outdoor_20.jpg,12,1,easy,2.59657363849692,2.59657363849692,lure,6.04963593231514,6.80393133219332,centre,target,2.16878434712999,3.29652334703133,right,unsure,0.628510070499033,1.22971697035246
inanimate_26.jpg,polkadot_19.jpg,indoor_54.jpg,16,1,difficult,1.53151353006251,2.34319013007917,target,4.4416282705497,4.4416282705497,left,target,1.56874567060731,3.55387877067551,right,certain,0.658508480992168,1.61300338082947
animate_04.jpg,polkadot_28.jpg,indoor_09.jpg,1,1,difficult,0.983765780925751,2.04210608103313,target,2.51021798094735,5.66059228079394,right,target,7.2738379787188,7.2738379787188,left,certain,2.32713147858158,40.5573988787364
animate_03.jpg,polkadot_56.jpg,outdoor_62.jpg,32,1,difficult,1.10436562169343,1.79213852179237,target,3.39604392787442,6.22120712790638,centre,target,4.92852932354435,4.92852932354435,left,guess,0.38758863019757,0.38758863019757
inanimate_51.jpg,polkadot_25.jpg,outdoor_14.jpg,47,1,difficult,1.45590398088098,2.2002892808523,lure,1.63069802802056,1.63069802802056,left,target,1.88749483018182,3.18855803017505,right,unsure,0.432925431989133,1.02560873213224
inanimate_13.jpg,chequered_16.jpg,indoor_29.jpg,7,1,easy,1.18238042993471,1.18238042993471,lure,6.37461002799682,11.4564816278871,right,target,2.09001097036526,4.01839307043701,right,unsure,1.12178592151031,1.92760462150909
